  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
============================================================================
   1   15    2    0.00   0.00     0      0    0      0      0     0     0.00
   2    8    2    0.00   0.00     0      0    0      0      0     0     0.00
   3   10    2    0.00   0.00     0      0    0      0      0     0     0.00
   4   12    2    0.00   0.00     0      0    0      0      0     0     0.00
   5   11    2    0.00   0.00     0      0    0      0      0     0     0.00
   6   23    2    0.00   0.00     0      0    0      0      0     0     0.00
   7    9    2    0.00   0.00     0      0    0      0      0     0     0.00
   8   21    2    0.00   0.00     0      0    0      0      0     0     0.00
   9   10    2    0.00   0.00     0      0    0      0      0     0     0.00
  10    8    2    0.00   0.00     0      0    0      0      0     0     0.00
  11    5    2    0.00   0.00     0      0    0      0      0     0     0.00
  12    8    2    0.00   0.00     0      0    0      0      0     0     0.00
  13   11    2    0.00   0.00     0      0    0      0      0     0     0.00
  14   12    2    0.00   0.00     0      0    0      0      0     0     0.00
  15    4    2    0.00   0.00     0      0    0      0      0     0     0.00
  16   39    2    0.00   0.00     0      0    0      0      0     0     0.00
  17   24    2    0.00   0.00     0      0    0      0      0     0     0.00
  18    5    2    0.00   0.00     0      0    0      0      0     0     0.00
  19   14    2    0.00   0.00     0      0    0      0      0     0     0.00
  20   11    2    0.00   0.00     0      0    0      0      0     0     0.00
  21   14    2    0.00   0.00     0      0    0      0      0     0     0.00
  22    8    2    0.00   0.00     0      0    0      0      0     0     0.00
  23   16    2    0.00   0.00     0      0    0      0      0     0     0.00
  24    1    0  100.00 100.00     2      2    2      0      1     1   100.00
  25   10    0   36.36  40.00     4     11   10      1     10     2    20.00
  26    1    0  100.00 100.00     2      2    2      0      1     1   100.00
  27    3    0   50.00  50.00     2      4    4      0      3     1    33.33
  28    3    0   50.00  50.00     2      4    4      0      3     1    33.33
  29    6    0   28.57  28.57     2      7    7      3      6     1    16.67
  30    1    0  100.00 100.00     2      2    2      0      1     1   100.00
  31    1    0  100.00 100.00     2      2    2      0      1     1   100.00
  32    3    0   50.00  50.00     2      4    4      0      3     1    33.33
  33    4    0   40.00  50.00     2      5    4      0      4     1    25.00
  34    5    0   50.00  60.00     3      6    5      0      5     2    40.00
  35   22    2    0.00   0.00     0      0    0      0      0     0     0.00
  36    5    2    0.00   0.00     0      0    0      0      0     0     0.00
  37    8    0   44.44  44.44     4      9    9      2      8     3    37.50
  38    1    0  100.00 100.00     2      2    2      0      1     1   100.00
  39   31    2    0.00   0.00     0      0    0      0      0     0     0.00
  40    7    2    0.00   0.00     0      0    0      0      0     0     0.00
  41    9    2    0.00   0.00     0      0    0      0      0     0     0.00
  42   11    2    0.00   0.00     0      0    0      0      0     0     0.00
  43   19    2    0.00   0.00     0      0    0      0      0     0     0.00
  44   31    2    0.00   0.00     0      0    0      0      0     0     0.00
  45    9    2    0.00   0.00     0      0    0      0      0     0     0.00
  46   30    2    0.00   0.00     0      0    0      0      0     0     0.00
  47   17    2    0.00   0.00     0      0    0      0      0     0     0.00
  48    8    2    0.00   0.00     0      0    0      0      0     0     0.00
  49   27    2    0.00   0.00     0      0    0      0      0     0     0.00
  50   68    0   36.23  36.76    25     69   68     15     68    27    39.71
  51   27    2    0.00   0.00     0      0    0      0      0     0     0.00
  52    6    2    0.00   0.00     0      0    0      0      0     0     0.00
  53   13    0   42.86  46.15     6     14   13      2     13     5    38.46
  54   11    2    0.00   0.00     0      0    0      0      0     0     0.00
