  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
============================================================================
   1   15    2    0.00   0.00     0      0    0      0      0     0     0.00
   2    8    2    0.00   0.00     0      0    0      0      0     0     0.00
   3   10    2    0.00   0.00     0      0    0      0      0     0     0.00
   4   12    0   30.77  30.77     4     13   13      5     12     9    75.00
   5   11    0   25.00  25.00     3     12   12      4     11     8    72.73
   6   23    0   37.50  37.50     9     24   24      9     23    19    82.61
   7    9    2    0.00   0.00     0      0    0      0      0     0     0.00
   8   21    2    0.00   0.00     0      0    0      0      0     0     0.00
   9   10    0   45.45  45.45     5     11   11      1     10     7    70.00
  10    8    2    0.00   0.00     0      0    0      0      0     0     0.00
  11    5    0   50.00  50.00     3      6    6      0      5     3    60.00
  12    8    2    0.00   0.00     0      0    0      0      0     0     0.00
  13   11    0   25.00  25.00     3     12   12      7     11     6    54.55
  14   12    2    0.00   0.00     0      0    0      0      0     0     0.00
  15    4    0   20.00  20.00     1      5    5      0      4     1    25.00
  16   39    0   32.50  34.21    13     40   38     17     39    29    74.36
  17   24    2    0.00   0.00     0      0    0      0      0     0     0.00
  18    5    0   33.33  40.00     2      6    5      0      5     3    60.00
  19   14    2    0.00   0.00     0      0    0      0      0     0     0.00
  20   11    2    0.00   0.00     0      0    0      0      0     0     0.00
  21   14    0   33.33  33.33     5     15   15      6     14    10    71.43
  22    8    2    0.00   0.00     0      0    0      0      0     0     0.00
  23   16    0   29.41  29.41     5     17   17      8     16    13    81.25
  24    1    0  100.00 100.00     2      2    2      0      1     1   100.00
  25   10    0   18.18  20.00     2     11   10      5     10     7    70.00
  26    1    0  100.00 100.00     2      2    2      0      1     1   100.00
  27    3    0   25.00  25.00     1      4    4      0      3     3   100.00
  28    3    0   25.00  25.00     1      4    4      0      3     3   100.00
  29    6    0   42.86  42.86     3      7    7      3      6     4    66.67
  30    1    0  100.00 100.00     2      2    2      0      1     1   100.00
  31    1    0  100.00 100.00     2      2    2      0      1     1   100.00
  32    3    0   25.00  25.00     1      4    4      0      3     3   100.00
  33    4    0   40.00  50.00     2      5    4      0      4     1    25.00
  34    5    0   33.33  40.00     2      6    5      0      5     2    40.00
  35   22    0   39.13  39.13     9     23   23      9     22    15    68.18
  36    5    2    0.00   0.00     0      0    0      0      0     0     0.00
  37    8    0   55.56  55.56     5      9    9      3      8     5    62.50
  38    1    0  100.00 100.00     2      2    2      0      1     1   100.00
  39   31    2    0.00   0.00     0      0    0      0      0     0     0.00
  40    7    2    0.00   0.00     0      0    0      0      0     0     0.00
  41    9    2    0.00   0.00     0      0    0      0      0     0     0.00
  42   11    2    0.00   0.00     0      0    0      0      0     0     0.00
  43   19    2    0.00   0.00     0      0    0      0      0     0     0.00
  44   31    2    0.00   0.00     0      0    0      0      0     0     0.00
  45    9    2    0.00   0.00     0      0    0      0      0     0     0.00
  46   30    2    0.00   0.00     0      0    0      0      0     0     0.00
  47   17    2    0.00   0.00     0      0    0      0      0     0     0.00
  48    8    2    0.00   0.00     0      0    0      0      0     0     0.00
  49   27    2    0.00   0.00     0      0    0      0      0     0     0.00
  50   68    0   39.13  39.13    27     69   69     25     68    63    92.65
  51   27    0   39.29  40.74    11     28   27      8     27    21    77.78
  52    6    2    0.00   0.00     0      0    0      0      0     0     0.00
  53   13    0   28.57  30.77     4     14   13      5     13     8    61.54
  54   11    2    0.00   0.00     0      0    0      0      0     0     0.00
